1000
L 41  467 334 500
L 169  724 478 358
L 962  464 705 145
L 281  827 961 491
L 995  942 827 436
L 391  604 902 153
L 292  382 421 716
L 718  895 447 726
L 771  538 869 912
L 667  299 35 894
L 703  811 322 333
L 673  664 141 711
L 253  868 547 644
L 662  757 37 859
L 723  741 529 778
L 316  35 190 842
L 288  106 40 942
L 264  648 446 805
L 890  729 370 350
L 6  101 393 548
L 629  623 84 954
L 756  840 966 376
L 931  308 944 439
L 626  323 537 538
L 118  82 929 541
L 833  115 639 658
L 704  930 977 306
L 673  386 21 745
L 924  72 270 829
L 777  573 97 512
L 986  290 161 636
L 355  767 655 574
L 31  52 350 150
L 941  724 966 430
L 107  191 7 337
L 457  287 753 383
L 945  909 209 758
L 221  588 422 946
L 506  30 413 168
L 900  591 762 655
L 410  359 624 537
L 548  483 595 41
L 602  350 291 836
L 374  20 596 21
L 348  199 668 484
L 281  734 53 999
L 418  938 900 788
L 127  467 728 893
L 648  483 807 421
L 310  617 813 514
L 309  616 935 451
L 600  249 519 556
L 798  303 224 8
L 844  609 989 702
L 195  485 93 343
L 523  587 314 503
L 448  200 458 618
L 580  796 798 281
L 589  798 9 157
L 472  622 538 292
L 38  179 190 657
L 958  191 815 888
L 156  511 202 634
L 272  55 328 646
L 362  886 875 433
L 869  142 844 416
L 881  998 322 651
L 21  699 557 476
L 892  389 75 712
L 600  510 3 869
L 861  688 401 789
L 255  423 2 585
L 182  285 88 426
L 617  757 832 932
L 169  154 721 189
L 976  329 368 692
L 425  555 434 549
L 441  512 145 60
L 718  753 139 423
L 279  996 687 529
L 549  437 866 949
L 193  195 297 416
L 286  105 488 282
L 455  734 114 701
L 316  671 786 263
L 313  355 185 53
L 912  808 832 945
L 313  756 321 558
L 646  982 481 144
L 196  222 129 161
L 535  450 173 466
L 44  659 292 439
L 253  24 154 510
L 745  649 186 313
L 474  22 168 18
L 787  905 958 391
L 202  625 477 414
L 314  824 334 874
L 372  159 833 70
L 487  297 518 177
L 773  270 763 668
L 192  985 102 480
L 213  627 802 99
L 527  625 543 924
L 23  972 61 181
L 3  432 505 593
L 725  31 492 142
L 222  286 64 900
L 187  360 413 974
L 270  170 235 833
L 711  760 896 667
L 285  550 140 694
L 695  624 19 125
L 576  694 658 302
L 371  466 678 593
L 851  484 18 464
L 119  152 800 87
L 60  926 10 757
L 170  315 576 227
L 43  758 164 109
L 882  86 565 487
L 577  474 625 627
L 629  928 423 520
L 902  962 123 596
L 737  261 195 525
L 264  260 202 116
L 30  326 11 771
L 411  547 153 520
L 790  924 188 763
L 940  851 662 829
L 900  713 958 578
L 365  7 477 200
L 58  439 303 760
L 357  324 477 108
L 113  887 801 850
L 460  428 993 384
L 405  540 111 704
L 835  356 72 350
L 823  485 556 216
L 626  357 526 357
L 337  271 869 361
L 896  22 617 112
L 717  696 585 41
L 423  129 229 565
L 559  932 296 855
L 53  962 584 734
L 654  972 457 369
L 532  963 607 483
L 911  635 67 848
L 675  938 223 142
L 754  511 741 175
L 459  825 221 870
L 626  934 205 783
L 850  398 279 701
L 193  734 637 534
L 556  993 176 705
L 962  548 881 300
L 413  641 855 855
L 142  462 611 877
L 424  678 752 443
L 296  673 40 313
L 875  72 818 610
L 17  932 112 695
L 169  831 40 488
L 685  90 497 589
L 990  145 353 314
L 651  740 44 258
L 335  759 192 605
L 264  181 503 829
L 775  608 292 997
L 549  556 561 627
L 467  541 129 240
